Data,Valor Real,Valor Previsto
2021-03-19,17.250000,16.649586
2021-03-22,17.010000,16.526722
2021-03-23,16.580000,16.423111
2021-03-24,16.690001,16.342178
2021-03-25,16.340000,16.240583
2021-03-26,16.740000,16.180359
2021-03-29,16.959999,16.178308
2021-03-30,17.020000,16.244764
2021-03-31,17.379999,16.343346
2021-04-01,17.120001,16.495842
2021-04-05,18.280001,16.72284
2021-04-06,18.309999,17.029926
2021-04-07,18.650000,17.314978
2021-04-08,18.830000,17.571856
2021-04-09,18.219999,17.672987
2021-04-12,18.090000,17.611998
2021-04-13,18.190001,17.432844
2021-04-14,18.910000,17.27018
2021-04-15,19.299999,17.399715
2021-04-16,19.530001,17.670807
2021-04-19,19.430000,17.975811
2021-04-20,19.160000,18.175892
2021-04-21,19.420000,18.171364
2021-04-22,19.450001,18.129086
2021-04-23,19.660000,18.13422
2021-04-26,19.950001,18.252789
2021-04-27,20.299999,18.412083
2021-04-28,20.959999,18.578335
2021-04-29,21.059999,18.852964
2021-04-30,20.120001,18.99202
2021-05-03,20.090000,18.909363
2021-05-04,20.379999,18.707037
2021-05-05,20.730000,18.706306
2021-05-06,21.850000,18.89186
2021-05-07,22.080000,19.316526
